2) Rental Object Reference:,3) Rental Object Postcode:,4) Contract Number (Tenancy Reference):,5) Contract Start Date:,6) In the tenant’s view what was the main reason the household left their last settled home?:,"7) If you responded 'Other' to Q6, please state the main reason:",8) Was the reason for leaving a direct result of the removal of the spare room subsidy or benefit cap introduced from 2013?:,9) What was the housing situation for this household immediately before this letting?:,10) Enter Local Authority in which household lived immediately before this letting:,11) Postcode of the previous accommodation (leave blank if previous postcode is unknown or previous accommodation was temporary):,12) How long has the household continuously lived in the local authority area where the new letting is located?:,13) How long has the household been on the waiting list of the local authority district where the new letting is located?:,"14) Immediately prior to this letting, was this household…?:",15) Was the household given reasonable Preference for housing by the Local Authority?:,"16) Which of following reasonable preferences apply (tick any which are applicable, leave un-ticked if Q15 answered ""No"" or ""Don't Know"")?:","17) Was the letting made under any of the following allocations systems? (tick any which are applicable, leave un-ticked if none apply):","20) How many times has the unit been previously offered since becoming available for relet since the last tenancy ended or as a first let? 
For an Affordable Rent or Rent to Buy Letting, only include number of offers as that type. (For a property let at t",21) Reason for vacancy:
1010/100823/10000013,PL15 9FL,1010/1100075032,2/1/21,To move nearer to family/ friends/ school,,No,Private sector tenancy,East Lindsey,,Just moved to the local authority area,Don't know,Not homeless,No,,,0,Relet - tenant moved to other social housing provider
1010/104746/10000022,PL15 8DN,1010/1100075028,2/1/21,To move nearer to family/ friends/ school,,No,Private sector tenancy,Lancaster,,Just moved to the local authority area,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/104897/10000063,TQ2 6DS,1010/1100075063,2/1/21,Property unsuitable because of ill health/ disability,,No,Fixed-term Local Authority General Needs tenancy,Torbay,TQ2 8AH,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),1,Relet - previous tenant died (no succession)
1020/106288/10000014,NR32 1RB,1020/1200000571,2/1/21,Property unsuitable because of ill health/ disability,,Don't Know,Residential care home,East Suffolk,,5 years or more,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/106829/10000003,SS4 3EG,1010/1100075090,2/1/21,To move nearer to family/ friends/ school,,Don't Know,Lifetime Local Authority General Needs tenancy,Basildon,SS14 2DN,Just moved to the local authority area,Don't know,Not homeless,Don't Know,,Common housing register (CHR),1,Relet - previous tenant died (no succession)
1010/101206/10000240,TQ3 3PN,1010/1100075056,2/1/21,Domestic abuse,,No,Any other temporary accommodation,Torbay,,4 years but under 5 years,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/105748/10000006,IP11 2NB,1010/1600005774,2/1/21,Asked to leave by family or friends,,No,Living with friends or family,Ipswich,IP2 8FJ,Don't know,Less than 1 year,Not homeless,Yes,Don't know,,1,Relet - tenant moved to other social housing provider
1010/102879/10000001,TR11 4ES,1010/1100075092,2/2/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,Cornwall,TR11 4ES,5 years or more,Don't know,Not homeless,No,,,1,Relet - previous tenant moved to private sector or other accommodation
1010/104696/10000019,TR11 2TS,1010/1100075086,2/2/21,Property unsuitable because of overcrowding,,No,Private sector tenancy,Cornwall,,5 years or more,Don't know,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL),1,Relet - tenant moved to other social housing provider
1020/106440/10000014,IP4 1DL,1020/1600000912,2/1/21,To move to accommodation with support,,Don't Know,Refuge,Ipswich,,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,,0,Relet - tenant moved to other social housing provider
