Local Authority,Housing Category,Rental Object.,Acquisition Date,Postcode - 1st part,Postcode - 2nd part,Property Type,No. of Bedrooms,RE Contract,Contract Type,Contract Start Date,Prev Cont End Date,Previous Reason for Termination,Company (AO),Tenancy Allocation Source,Max Major Works Date,Max Remodelling Date,Max ReInvestment Date,Max HeldForDecant Date,Max NewProperty Date
BABERGH,Supported Housing,1020/106455/10000002,,CO10,2BP,Room,#,1020/1600000938,Ex Lic. - Eng,22/02/2021,09/02/2021,Perm Accom,Sanc. Afford. Housing Ltd,Other,,,,,
EAST CAMBRIDGESHIRE,Supported Housing,1010/102265/10000166,,CB7,4EG,Room,#,1010/1600005847,Ex Lic. - Eng,23/02/2021,04/02/2021,Afford,Sanctuary Housing Assoc.,Local Authority Nomination,,,,22/02/2021,
EAST CAMBRIDGESHIRE,Supported Housing,1010/102265/10000314,,CB7,4EG,Room,#,1010/1600005780,Ex Lic. - Eng,02/02/2021,04/01/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Local Authority Nomination,,,,01/02/2021,
EAST CAMBRIDGESHIRE,Supported Housing,1010/103435/10000027,,CB6,1NE,Room,#,1010/1600005858,Ex Lic. - Eng,25/02/2021,09/11/2020,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,24/02/2021,
EAST SUFFOLK,Supported Housing,1010/105748/10000006,,IP11,2NB,Room,#,1010/1600005774,Ex Lic. - Eng,01/02/2021,20/12/2020,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
EAST SUFFOLK,Supported Housing,1010/105748/10000010,,IP11,2NB,Room,#,1010/1600005820,Ex Lic. - Eng,15/02/2021,01/02/2021,Keys ret,Sanctuary Housing Assoc.,Other,,,,,
EAST SUFFOLK,Supported Housing,1010/105748/10000015,,IP11,2NB,Room,#,1010/1600005840,Ex Lic. - Eng,22/02/2021,05/01/2021,Keys ret,Sanctuary Housing Assoc.,Other,,,,,
EAST SUFFOLK,Supported Housing,1020/106444/10000005,,IP11,2DZ,Room,#,1020/1600000916,Ex Lic. - Eng,04/02/2021,21/01/2021,Man. Trans  Grp,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
IPSWICH,Supported Housing,1010/102731/10000001,,IP1,3LN,Flat,1,1010/1200008749,AST - Social,17/02/2021,15/02/2021,Inde living,Sanctuary Housing Assoc.,Other,,,,,
IPSWICH,Supported Housing,1010/102993/10000009,,IP1,3PX,Room,#,1010/1600005803,Ex Lic. - Eng,09/02/2021,13/01/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Social Services,,,,,
IPSWICH,Supported Housing,1020/106418/10000003,,IP3,8AW,Room,#,1020/1600000915,Ex Lic. - Eng,03/02/2021,10/12/2020,Perm Accom,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
IPSWICH,Supported Housing,1020/106440/10000005,,IP4,1DL,Room,#,1020/1600000934,Ex Lic. - Eng,22/02/2021,11/02/2021,Perm Accom,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
IPSWICH,Supported Housing,1020/106440/10000008,,IP4,1DL,Room,#,1020/1600000917,Ex Lic. - Eng,04/02/2021,20/01/2021,Man. Trans  Grp,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
IPSWICH,Supported Housing,1020/106440/10000014,,IP4,1DL,Room,#,1020/1600000912,Ex Lic. - Eng,01/02/2021,11/01/2021,Perm Accom,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
SOUTH CAMBRIDGESHIRE,Supported Housing,1010/103418/10000002,,CB22,3BN,Room,#,1010/1600005813,Ex Lic. - Eng,11/02/2021,21/12/2020,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,10/02/2021,
SOUTH CAMBRIDGESHIRE,Affordable Supported Housing,1020/106248/10000043,,CB25,9GF,Flat,1,1020/1600000924,Ex Lic. - Eng,09/02/2021,18/01/2021,O Supp Prov-Low,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,08/02/2021,
SOUTH CAMBRIDGESHIRE,Affordable Supported Housing,1020/106248/10000044,,CB25,9GF,Flat,1,1020/1600000929,Ex Lic. - Eng,13/02/2021,14/01/2021,O Supp Prov-Low,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,12/02/2021,
SOUTH CAMBRIDGESHIRE,Affordable Supported Housing,1020/106248/10000045,,CB25,9GF,Flat,1,1020/1600000926,Ex Lic. - Eng,11/02/2021,02/02/2021,O SuppProv-High,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,10/02/2021,
WEST SUFFOLK,Supported Housing,1020/106396/10000010,,CB9,8HB,Room,#,1020/1600000931,Ex Lic. - Eng,16/02/2021,07/01/2021,Employ,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
WEST SUFFOLK,Supported Housing,1020/106410/10000000,,IP33,3AP,Flat,1,1020/1500000626,Prtctd Lic.-Eng,01/02/2021,30/12/2020,Inde living,Sanc. Afford. Housing Ltd,Other,,,,,
BRAINTREE,Supported Housing,1010/101685/10000012,,CM8,2YH,Flat,1,1010/1200008754,AST - Social,22/02/2021,22/11/2020,Refused,Sanctuary Housing Assoc.,Community Mental Health Team,,,,,
BRAINTREE,Supported Housing,1010/101685/10000020,,CM8,2YH,Flat,1,1010/1200008742,AST - Social,15/02/2021,08/11/2020,Inde living,Sanctuary Housing Assoc.,Community Mental Health Team,21/01/2021,,,,
BRAINTREE,Supported Housing,1010/101685/10000023,,CM8,2YH,Studio apartment,#,1010/1200008734,AST - Social,08/02/2021,09/07/2020,Closer Family,Sanctuary Housing Assoc.,Local Authority Nomination,20/10/2020,,,,
CHELMSFORD,Supported Housing,1010/101035/10000003,,CM1,2EN,Room,#,1010/1600005765,Ex Lic. - Eng,01/02/2021,04/10/2020,Prison,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
COLCHESTER,Supported Housing,1010/102719/10000011,,CO2,8PE,Room,#,1010/1600005798,Ex Lic. - Eng,08/02/2021,24/01/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,Other,,,,,
COLCHESTER,Supported Housing,1010/102719/10000015,,CO2,8PE,Room,#,1010/1600005848,Ex Lic. - Eng,25/02/2021,29/11/2020,Perm Accom,Sanctuary Housing Assoc.,Police/Probation/Prison Serv,,,,,
SOUTHEND-ON-SEA,Supported Housing,1010/101201/10000004,,SS3,9UT,Room,#,1010/1600005839,Ex Lic. - Eng,22/02/2021,14/02/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,30,,,,,
SOUTHEND-ON-SEA,Supported Housing,1010/101201/10000005,,SS3,9UT,Room,#,1010/1600005838,Ex Lic. - Eng,22/02/2021,24/01/2021,Inde living,Sanctuary Housing Assoc.,30,,,,,
SOUTHEND-ON-SEA,Supported Housing,1010/102671/10000005,,SS0,9AF,Room,#,1010/1600005773,Ex Lic. - Eng,01/02/2021,29/11/2020,Inde living,Sanctuary Housing Assoc.,30,,,,,
SOUTHEND-ON-SEA,Supported Housing,1010/104649/10000019,,SS1,2GD,Room,#,1010/1600005800,Ex Lic. - Eng,08/02/2021,31/01/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,30,,,,,
SOUTHEND-ON-SEA,Supported Housing,1010/104649/10000056,,SS1,2NF,Room,#,1010/1600005762,Ex Lic. - Eng,01/02/2021,17/01/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Social Services,,,,,
SOUTHEND-ON-SEA,Supported Housing,1010/104649/10000098,,SS1,2NF,Room,#,1010/1600005828,Ex Lic. - Eng,15/02/2021,07/02/2021,Larger Prop,Sanctuary Housing Assoc.,30,,,,,
TENDRING,Supported Housing,1020/106439/10000001,,CO15,6BG,Room,#,1020/1600000920,Ex Lic. - Eng,08/02/2021,22/12/2020,Prison,Sanc. Afford. Housing Ltd,Local Authority Nomination,04/02/2021,,,,
TENDRING,Supported Housing,1020/106439/10000004,,CO15,6BG,Room,#,1020/1600000930,Ex Lic. - Eng,15/02/2021,31/01/2021,Inde living,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
THURROCK,Supported Housing,1010/101669/10000002,,RM17,6DZ,Room,#,1010/1600005834,Ex Lic. - Eng,22/02/2021,14/02/2021,Inde living,Sanctuary Housing Assoc.,Voluntary Agency,,,,,
THURROCK,Supported Housing,1010/106929/10000008,,RM17,6DX,Room,#,1010/1600005784,Ex Lic. - Eng,03/02/2021,17/01/2021,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
THURROCK,Supported Housing,1010/106929/10000015,,RM17,6DX,Room,#,1010/1600005791,Ex Lic. - Eng,04/02/2021,22/11/2020,Move Fam/Friend,Sanctuary Housing Assoc.,Social Services,,,,,
THURROCK,Supported Housing,1010/106929/10000022,,RM17,6DX,Room,#,1010/1600005844,Ex Lic. - Eng,17/02/2021,03/02/2021,Non Soc-L/L Int,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
THURROCK,Supported Housing,1010/106929/10000026,,RM17,6DX,Room,#,1010/1600005799,Ex Lic. - Eng,08/02/2021,29/01/2021,O Supp Prov-Low,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
THURROCK,Supported Housing,1010/106929/10000027,,RM17,6DX,Room,#,1010/1600005785,Ex Lic. - Eng,03/02/2021,24/01/2021,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
THURROCK,Supported Housing,1010/106929/10000028,,RM17,6DX,Room,#,1010/1600005845,Ex Lic. - Eng,22/02/2021,14/02/2021,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
THURROCK,Supported Housing,1010/106930/10000005,,RM17,6QA,Room,#,1010/1600005812,Ex Lic. - Eng,11/02/2021,24/01/2021,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
THURROCK,Supported Housing,1010/106930/10000013,,RM17,6QA,Room,#,1010/1600005855,Ex Lic. - Eng,25/02/2021,10/01/2021,Perm Accom,Sanctuary Housing Assoc.,30,,,,24/02/2021,
THURROCK,Supported Housing,1010/106930/10000016,,RM17,6QA,Room,#,1010/1600005788,Ex Lic. - Eng,04/02/2021,23/11/2020,Perm Accom,Sanctuary Housing Assoc.,Social Services,,,,03/02/2021,
THURROCK,Supported Housing,1010/106930/10000017,,RM17,6QA,Room,#,1010/1600005822,Ex Lic. - Eng,16/02/2021,04/02/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
UTTLESFORD,Supported Housing,1020/106446/10000015,,CB11,3EE,Room,#,1020/1600000933,Ex Lic. - Eng,22/02/2021,13/12/2020,Inde living,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
CANTERBURY,Supported Housing,1010/103624/10000059,,CT2,7TG,Room,#,1010/1600005777,Ex Lic. - Eng,02/02/2021,28/12/2020,Keys ret,Sanctuary Housing Assoc.,30,,,,,
CANTERBURY,Supported Housing,1010/103624/10000130,,CT2,8ED,Room,#,1010/1600005810,Ex Lic. - Eng,11/02/2021,31/01/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Social Services,,,,,
CANTERBURY,Supported Housing,1010/103624/10000160,,CT2,8ED,Room,#,1010/1600005814,Ex Lic. - Eng,12/02/2021,01/02/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,30,,,,,
FOLKESTONE & HYTHE,Supported Housing,1010/105228/10000002,,CT21,6AJ,Room,#,1010/1200008731,AST - Social,01/02/2021,18/06/2020,Med/Supp Need,Sanctuary Housing Assoc.,Local Authority Nomination,29/11/2020,,,,
SWALE,Supported Housing,1010/102369/10000006,,ME13,8HB,Room,#,1010/1600005816,Ex Lic. - Eng,15/02/2021,10/01/2021,Med/Supp Need,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
SWALE,Supported Housing,1010/106916/10000009,,ME12,1RH,Flat,1,1010/1200008756,AST - Social,24/02/2021,24/01/2021,Perm Accom,Sanctuary Housing Assoc.,Social Services,,,,,
SWALE,Supported Housing,1010/106917/10000005,,ME10,1JX,Flat,1,1010/1200008758,AST - Social,23/02/2021,07/02/2021,Inde living,Sanctuary Housing Assoc.,30,,,,,
BRECKLAND,Supported Housing,1020/106415/10000008,,IP24,1DS,Room,#,1020/1600000913,Ex Lic. - Eng,02/02/2021,31/12/2020,Employ,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
BRECKLAND,Supported Housing,1020/106415/10000010,,IP24,1DS,Room,#,1020/1600000922,Ex Lic. - Eng,09/02/2021,19/10/2020,Keys ret,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
BROADLAND,Supported Housing,1020/106478/10000010,,NR6,6LZ,Room,#,1020/1600000925,Ex Lic. - Eng,11/02/2021,11/11/2020,Perm Accom,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
EAST SUFFOLK,Supported Housing,1020/106466/10000016,,NR32,1HB,Room,#,1020/1600000937,Ex Lic. - Eng,22/02/2021,13/01/2021,Man. Trans  Grp,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
GREAT YARMOUTH,Supported Housing,1020/106420/10000000,,NR30,1EY,Flat,1,1020/1600000919,Ex Lic. - Eng,08/02/2021,11/01/2021,Perm Accom,Sanc. Afford. Housing Ltd,30,,,,,
GREAT YARMOUTH,Supported Housing,1020/106464/10000013,,NR31,0DX,Room,#,1020/1600000928,Ex Lic. - Eng,15/02/2021,01/11/2020,Refused,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,
KING'S LYNN AND WEST,Supported Housing,1020/106476/10000004,,PE30,2PT,Flat,1,1020/1600000918,Ex Lic. - Eng,08/02/2021,13/09/2020,Inde living,Sanc. Afford. Housing Ltd,29,,,,,
NORWICH,Supported Housing,1020/106481/10000004,,NR2,3JW,Room,#,1020/1600000932,Ex Lic. - Eng,19/02/2021,27/12/2020,Keys ret,Sanc. Afford. Housing Ltd,Other Social Landlord,,,,,
SOUTH NORFOLK,Supported Housing,1020/106469/10000001,,IP22,4LF,Room,#,1020/1600000936,Ex Lic. - Eng,19/02/2021,06/12/2020,Move Fam/Friend,Sanc. Afford. Housing Ltd,Local Authority Nomination,12/01/2021,,,,
BASILDON,Housing for Older People,1010/103777/10000080,,SS13,1FG,Flat,1,1010/1100075202,Assured,08/02/2021,07/12/2020,Tenant Died,Sanctuary Housing Assoc.,Direct Application,,,,,
BASILDON,Housing for Older People,1010/103777/10000098,,SS13,1FG,Flat,1,1010/1100075201,Assured,08/02/2021,25/10/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Direct Application,,,,,
HARINGEY,Supported Housing,1010/100499/10000004,,N17,6PJ,Room,#,1010/1600005837,Ex Lic. - Eng,22/02/2021,05/07/2020,O SuppProv-High,Sanctuary Housing Assoc.,Local Authority Nomination,26/11/2020,,,,
TOWER HAMLETS,Housing for Older People,1010/105868/10000098,,E3,4SW,Flat,1,1010/1100075190,Assured,05/02/2021,22/11/2020,Tenant Died,Sanctuary Housing Assoc.,Direct Application,,,,,
TOWER HAMLETS,Housing for Older People,1010/105868/10000121,,E3,4SW,Flat,1,1010/1100075193,Assured,05/02/2021,04/12/2020,Tenant Died,Sanctuary Housing Assoc.,Direct Application,,,,,
