Company Code,Contract,Legal Agreement Type,Notice Procedure Name,Fixed End Date
1010,1100073300,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100074733,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100074913,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075001,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075002,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075008,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075020,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075028,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075032,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075051,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075056,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075063,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075064,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075065,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075079,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075080,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075081,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075082,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075083,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075084,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075085,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075086,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075087,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075088,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075089,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075090,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075091,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075092,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075094,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075095,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075098,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075099,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075100,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075101,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075102,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075103,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075104,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075105,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075107,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075108,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075109,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075110,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075111,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075112,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075113,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075114,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075115,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075116,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075118,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075119,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075120,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075121,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075122,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075123,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075124,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075126,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075127,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075128,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075129,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075130,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075131,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075132,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075133,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075134,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075136,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075137,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075138,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075139,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075140,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075141,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075142,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075143,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075144,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075145,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075146,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075147,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075148,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075149,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075150,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075151,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075152,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075153,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075154,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075155,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075156,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075157,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075158,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075159,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075161,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075162,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075164,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075165,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075166,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075167,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075168,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075169,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075170,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075171,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075173,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075174,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075175,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075176,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075177,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075178,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075179,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075180,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075181,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075182,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075183,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075184,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075185,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075187,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075188,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075189,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075190,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075191,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075192,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075193,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075194,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075195,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075196,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075199,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075201,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075202,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075203,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075204,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075205,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075206,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075207,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075208,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075209,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075210,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075211,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075212,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075214,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075216,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075218,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075221,STA,Starter Period Weekly Frequency Notice Rule,
1010,1100075222,ASS,Assured/Secure/SST - Weekly Frequency Notice Rule,
1010,1100075223,STA,Starter Period Weekly Frequency Notice Rule,
